id;id_turma;id_modulo;id_formador;dia;data;h_inicio;h_fim;duracao
345388;4;5417;103;Sex;2025-05-02;14:00;17:00;3
348243;4;5417;103;Seg;2025-05-05;09:00;13:00;4
348244;4;5417;103;Seg;2025-05-05;14:00;17:00;3
348246;4;5417;103;Ter;2025-05-06;09:00;13:00;4
348248;4;6404;104;Ter;2025-05-06;14:00;17:00;3
348249;4;5420;102;Qua;2025-05-07;09:00;13:00;4
348250;4;8599;105;Qua;2025-05-07;14:00;17:00;3
348251;4;5423;101;Qui;2025-05-08;09:00;13:00;4
348252;4;5417;103;Qui;2025-05-08;14:00;17:00;3
348256;4;5420;102;Sex;2025-05-09;09:00;13:00;4
348260;4;5417;103;Sex;2025-05-09;14:00;17:00;3
348264;4;5423;101;Seg;2025-05-12;09:00;13:00;4
348267;4;5417;103;Seg;2025-05-12;14:00;17:00;3
348274;4;6404;104;Ter;2025-05-13;09:00;13:00;4
348276;4;5423;101;Ter;2025-05-13;14:00;17:00;3
348279;4;5420;102;Qua;2025-05-14;09:00;13:00;4
348283;4;8599;105;Qua;2025-05-14;14:00;17:00;3
348287;4;5423;101;Qui;2025-05-15;09:00;13:00;4
348289;4;5420;102;Qui;2025-05-15;14:00;17:00;3
348294;4;5420;102;Sex;2025-05-16;09:00;13:00;4
348295;4;5417;103;Sex;2025-05-16;14:00;17:00;3
348296;4;5423;101;Seg;2025-05-19;09:00;13:00;4
348297;4;5420;102;Seg;2025-05-19;14:00;16:00;2
348346;4;5421;102;Seg;2025-05-19;16:00;17:00;1
348298;4;6404;104;Ter;2025-05-20;09:00;13:00;4
348299;4;5423;101;Ter;2025-05-20;14:00;17:00;3
348300;4;5423;101;Qua;2025-05-21;09:00;13:00;4
348301;4;8599;105;Qua;2025-05-21;14:00;17:00;3
348303;4;5421;102;Qui;2025-05-22;09:00;13:00;4
348305;4;5423;101;Qui;2025-05-22;14:00;17:00;3
348310;4;5423;101;Sex;2025-05-23;09:00;13:00;4
348311;4;5421;102;Sex;2025-05-23;14:00;17:00;3
348485;4;5423;101;Seg;2025-05-26;09:00;13:00;4
348486;4;5421;102;Seg;2025-05-26;14:00;17:00;3
348487;4;6404;104;Ter;2025-05-27;09:00;13:00;4
348488;4;5423;101;Ter;2025-05-27;14:00;17:00;3
348489;4;5088;101;Qua;2025-05-28;09:00;13:00;4
348490;4;8599;105;Qua;2025-05-28;14:00;17:00;3
348491;4;5421;102;Qui;2025-05-29;09:00;13:00;4
348492;4;5423;101;Qui;2025-05-29;14:00;17:00;3
348493;4;5088;101;Sex;2025-05-30;09:00;13:00;4
348494;4;5421;102;Sex;2025-05-30;14:00;17:00;3
348495;4;5088;101;Seg;2025-06-02;09:00;13:00;4
348496;4;5421;102;Seg;2025-06-02;14:00;17:00;3
348497;4;6404;104;Ter;2025-06-03;09:00;13:00;4
348498;4;5088;101;Ter;2025-06-03;14:00;17:00;3
348499;4;8599;105;Qua;2025-06-04;09:00;13:00;4
348500;4;5088;101;Qua;2025-06-04;14:00;17:00;3
348501;4;5421;102;Qui;2025-06-05;09:00;13:00;4
348502;4;5088;101;Qui;2025-06-05;14:00;17:00;3
348503;4;5088;101;Sex;2025-06-06;09:00;13:00;4
348504;4;5421;102;Sex;2025-06-06;14:00;17:00;3
348505;4;5088;101;Seg;2025-06-09;09:00;13:00;4
348506;4;5421;102;Seg;2025-06-09;14:00;17:00;3
348507;4;5088;101;Qua;2025-06-11;09:00;13:00;4
348508;4;5088;101;Qua;2025-06-11;14:00;17:00;3
348509;4;5421;102;Qui;2025-06-12;09:00;13:00;4
348510;4;5088;101;Qui;2025-06-12;14:00;17:00;3
348511;4;5088;101;Sex;2025-06-13;09:00;13:00;4
348512;4;5421;102;Sex;2025-06-13;14:00;17:00;3
348513;4;5088;101;Seg;2025-06-16;09:00;13:00;4
348514;4;5421;102;Seg;2025-06-16;14:00;17:00;3
348515;4;5090;102;Ter;2025-06-17;09:00;13:00;4
348516;4;6404;104;Ter;2025-06-17;14:00;17:00;3
348517;4;5090;102;Qua;2025-06-18;09:00;13:00;4
348518;4;5088;101;Qua;2025-06-18;14:00;17:00;3
348519;4;5421;102;Sex;2025-06-20;09:00;13:00;4
348520;4;5421;102;Sex;2025-06-20;14:00;17:00;3
348521;4;5421;102;Seg;2025-06-23;09:00;11:00;2
348522;4;5090;102;Seg;2025-06-23;11:00;13:00;2
348523;4;5090;102;Seg;2025-06-23;14:00;17:00;3
348524;4;5090;102;Qua;2025-06-25;09:00;13:00;4
348525;4;5090;102;Qua;2025-06-25;14:00;17:00;3
348526;4;5090;102;Qui;2025-06-26;09:00;13:00;4
348527;4;5090;102;Qui;2025-06-26;14:00;15:00;1
348528;4;5091;101;Qui;2025-06-26;15:00;17:00;2
348529;4;5091;101;Sex;2025-06-27;09:00;13:00;4
348530;4;5091;101;Sex;2025-06-27;14:00;17:00;3
348531;4;5091;101;Seg;2025-06-30;09:00;13:00;4
348532;4;5091;101;Seg;2025-06-30;14:00;17:00;3
348533;4;5091;101;Ter;2025-07-01;09:00;13:00;4
348534;4;5091;101;Ter;2025-07-01;14:00;17:00;3
348535;4;5091;101;Qua;2025-07-02;09:00;13:00;4
348536;4;5091;101;Qua;2025-07-02;14:00;17:00;3
348537;4;5091;101;Qui;2025-07-03;09:00;13:00;4
348538;4;5091;101;Qui;2025-07-03;14:00;17:00;3
348539;4;5091;101;Sex;2025-07-04;09:00;13:00;4
348540;4;5091;101;Sex;2025-07-04;14:00;17:00;3
348541;4;5091;101;Seg;2025-07-07;09:00;13:00;4
348542;4;5091;101;Seg;2025-07-07;14:00;16:00;2
